"name","price","item_no","SKU","category"
"Staples® Hanging File Folder, 5-Tab, Letter Size, Standard Green, 50/Box (TR266262)","$26.99",0,"Item #: 901-266262","Folders"
"Quill Brand® Hanging File Folders, 1/5-Cut, Letter Size, Assorted, 25/Box (7387QAD)","$26.99",1,"Item #: 901-7387QAD","Folders"
"Smead Hanging File Folders, 1/5-Cut Adjustable Tab, Letter Size, Purple, 25/Box (64072)","$33.99",2,"Item #: 901-SMD64072UNI","Folders"
"Pendaflex Ready-Tab Reinforced Hanging File Folder, 5-Tab Tab, Letter Size, Pink, 20/Box (PFX 90240)","$33.99  $30.99",3,"Item #: 901-90240","Folders"
"Pendaflex Glow 5-Tab Hanging File Folders, Letter Size, Multicolor, 25/Box (81672)","$28.99",4,"Item #: 901-1075843","Folders"
"Quill Brand®  100% Recycled Hanging File Folders; 1/5-Cut, Letter Size, Green, 25/Box (7Q5215)","$20.59",5,"Item #: 901-7Q5215","Folders"
"Pendaflex Ready Tab® Hanging File Folders, Letter, 1/5-Cut, Bright Green","$42.99  $41.99",6,"Item #: 901-42626","Folders"
"Pendaflex® SureHook® 5-Tab Hanging File Folders, Letter Size, Green, 20/Box (6152 1/5)","$26.99",7,"Item #: 901-615215","Folders"
"Quill Brand® 100% Recycled 5-Tab Hanging File Folders, Legal Size, Green, 25/Box (7Q5315)","$17.59",8,"Item #: 901-7Q5315","Folders"
"Pendaflex SureHook Reinforced Hanging File Folders, Extra Capacity, Letter Size, Standard Green, 20/Box (PFX 6152x2)","$34.99",9,"Item #: 901-784623","Folders"